template_local,name,reaction sample,reagent,catalyst,solvent,_id,source
[C:1]-[O:3].[Cl:2]-[S:4]>>[C:1]-[Cl:2],Acyl chlorination 1,[CH3:1][O:2][c:3]1[cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[C:13](=[O:14])O.O=S(Cl)[Cl:15].c1ccccc1>>[CH3:1][O:2][c:3]1[cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11][c:12]1[C:13](=[O:14])[Cl:15],['S(=O)(Cl)Cl'],[],['C1=CC=CC=C1'],19,US03931103
[O:1].[C:2]-[O:3]>>[O:1]-[C:2],Esterification 1,[CH3:1][OH:2].Cl.[O:4]=[C:3](O)[CH2:5][CH2:6][C:7](=[O:8])[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[OH:15]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[OH:15],['Cl'],[],[],137,US03931177
[C:1]-[O:5].[N:2]-[N:3].[C:4]=[O:6]>>[C:1]-[N:2]-[N:3]=[C:4],Carboxyl and carbonyl groups form rings with hydrazine,[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH:9]([OH:10])[CH2:11][NH:12][C:13]([CH3:14])([CH3:15])[CH3:16])[c:17]([C:18](=O)[CH2:24][CH2:23][C:21](=[O:22])O)[cH:25]1.[NH2:20][NH2:19].O>>[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH:9]([OH:10])[CH2:11][NH:12][C:13]([CH3:14])([CH3:15])[CH3:16])[c:17]([C:18]2=[N:19][NH:20][C:21](=[O:22])[CH2:23][CH2:24]2)[cH:25]1,['O.NN'],[],[],176,US03931177
[N:1].[C:2]-[O:3]>>[N:1]-[C:2],Amidation 1,C(=NC1CCCCC1)=NC1CCCCC1.[CH3:4][NH:3][O:2][CH3:1].[CH3:23][c:22]1[c:8]([CH2:7][C:5](=[O:6])O)[cH:9][cH:10][cH:11][c:12]1[C:13](=[O:14])[c:15]1[cH:16][cH:17][c:18]([Cl:19])[cH:20][cH:21]1.ClC(Cl)Cl>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[c:15]2[cH:16][cH:17][c:18]([Cl:19])[cH:20][cH:21]2)[c:22]1[CH3:23],['C1(CCCCC1)N=C=NC1CCCCC1'],[],['C(Cl)(Cl)Cl'],597,US03931286
[C:3]-[Cl:1].[C:2]-[O:4]>>[Cl:1]-[C:2],Acyl chlorination 2,O=C(Cl)C(=O)[Cl:3].[O:1]=[C:2](O)[CH2:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19]1>>[O:1]=[C:2]([Cl:3])[CH2:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19]1,['C(C(=O)Cl)(=O)Cl'],[],[],640,US03931302
[O:1].[C:2]=[N:3]>>[O:1]-[C:2],Methylation 1,[CH2:1]=[N+]=[N-].[O:4]=[C:3]([OH:2])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19]1.ClCCl>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([C:11](=[O:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:19]1,[],[],"['C(Cl)Cl', 'C(Cl)Cl']",659,US03931302
[C:1]=[O:2]>>[C:1],Reduce to alcohol 1,[CH3:1][CH:2]([C:3](=O)[OH:4])[c:5]1[cH:6][cH:7][c:8]2[c:9](=[O:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[cH:17][cH:18][c:19]2[cH:20]1.[Al+3].[H-].[H-].[H-].[H-].[Li+].CCOCC>>[CH3:1][CH:2]([CH2:3][OH:4])[c:5]1[cH:6][cH:7][c:8]2[c:9](=[O:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[cH:17][cH:18][c:19]2[cH:20]1,['[H-].[Al+3].[Li+].[H-].[H-].[H-]'],[],['CCOCC'],9594,US03966820
[O:1]>>[O:1],Acid-base reaction 1,[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[OH:10].O=C([O-])[O-].[Na+:11].[OH-].O>>[O:1]=[C:2]([O-:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[OH:10].[Na+:11],['[Na+].[OH-]'],[],['O'],1752,US03934070
[O:1].[O:2]>>[O:1].[O:2],Acid-base reaction 2,[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15]([C:16](=[O:17])[OH:18])[cH:19][c:20]1[C:21]2=[O:22].O=C([O-])[O-].[Na+:23].[Na+:24]>>[O:1]=[C:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15]([C:16](=[O:17])[O-:18])[cH:19][c:20]1[C:21]2=[O:22].[Na+:23].[Na+:24],['C([O-])([O-])=O.[Na+].[Na+]'],[],[],2575,US03939276
[O:1].[C:2]-[Cl:3]>>[O:1]-[C:2],Substitution reaction with chlorine,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7]Cl.[O:10]=[C:9]([OH:8])[c:11]1[n:12][n:13](-[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]2)[c:21]2[c:22]1[CH2:23][CH2:24][c:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1-2.CC(C)O>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][O:8][C:9](=[O:10])[c:11]1[n:12][n:13](-[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][cH:20]2)[c:21]2[c:22]1[CH2:23][CH2:24][c:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1-2,[],[],['CC(C)O'],2779,US03940418
